,PARK,name,place_id,rating,user_ratings_total,num_results,address,exists on ChicagoPark District?,other notes
175,SMITH (WENDELL),Smith (Wendell) Park,ChIJgcvkSsIlDogRR5cZ9nlHY9s,3.8,48.0,1.0,,,
176,LERNER (LEO),Lerner (Leo) Park,ChIJeVnk7S_OD4gRxltObT_gFo4,4.6,124.0,1.0,,,
177,AUSTIN FOSTER,Austin Foster Park,ChIJx4mWNP7LD4gR6l7k7IedaLg,4.4,269.0,1.0,,,
178,WENTWORTH (JOHN) GARDENS,Wentworth (John) Park,ChIJfxjzKT03DogRjXMZOrRosIA,4.5,58.0,1.0,,,
179,LEGION,Legion Park,ChIJlWEDhQXOD4gR6EN3_b89CrI,4.6,401.0,0.0,,,
180,RONAN (GEORGE),Ronan (George) Park,ChIJdU-n4_vND4gRSS_biV-AwQM,4.6,229.0,1.0,,,
181,NICHOLS (JOHN FOUNTAIN),Nichols (John Fountain) Park,ChIJ9VgUgmwpDogRnWH3s78klsk,4.6,356.0,1.0,,,
182,"HOUSTON (JESSIE ""MA"")","Houston (Jessie ""Ma"") Park",ChIJ25PYPtUpDogRazfbOUg8y48,4.8,9.0,1.0,,,
183,GOLDEN GATE,Golden Gate Park,ChIJmSp646wmDogRVzY2UUdHPKc,4.1,67.0,1.0,,,
184,BROWN (SIDNEY) MEML.,Brown (Sidney) Memorial Park,ChIJ1Qeor6kpDogRqZ98tQ9t68I,4.6,14.0,1.0,,,
185,SOUTH LAKEVIEW,South Lakeview Playground Park,ChIJ9SMzGP_SD4gRHGT_ldaBKRw,4.4,80.0,1.0,,,
186,STOUT (FLORENCE),Stout (Florence) Park,ChIJ9e41QEApDogRD_GQ6JozyAA,4.6,40.0,1.0,,,
187,COLEMAN (BESSIE),Coleman (Bessie) Park,ChIJp3g-tEApDogRo-vgolDo4G4,4.3,46.0,1.0,,,
188,CORNELL (PAUL),Cornell (Paul) Park,ChIJKTxGQXMpDogRLktocqF7BAk,4.4,25.0,2.0,,,
189,UNITY,Unity Park,ChIJM0av2XPND4gRakwam_YpFR8,4.6,335.0,0.0,,,
190,HASAN (ELLIOT),Hasan (Elliot) Park,ChIJvfy23k0oDogRcWLXd0cjDug,4.2,15.0,1.0,,,
