,name,place_id,rating,user_ratings_total,lat_g,lng_g
82,Belford Tavern,ChIJM8JWfqjND4gRVTmo7K9do6k,4.3,67,41.9391894,-87.7273257
266,Galvin's Public House,ChIJF4QeCwjMD4gRXGWT0nlOQes,4.3,240,41.9675,-87.77499999999999
75,The Rabbit Hole,ChIJMfUSlUjTD4gRnbRdA9gELTo,4.3,220,41.9041667,-87.6347222
508,Roanoke Restaurant,ChIJAdXyvrssDogRfPeijP0aa1k,4.3,1411,41.8818554,-87.6319806
510,Ravens,ChIJ6YiwlhLTD4gRAV-E2e-1CZ4,4.3,226,41.9243411,-87.64014259999999
514,Hopsmith Chicago,ChIJ46Gmw0_TD4gRHvJ2iAX0IjA,4.3,943,41.9038304,-87.6293341
520,Hidden Cove,ChIJJYoH0_7RD4gRSXA3S5NI4gA,4.3,257,41.97889079999999,-87.69277919999999
74,Humble Bar,ChIJOc7B51vND4gRio64mbMXvQ4,4.3,204,41.9103372,-87.70300519999999
523,Barrio,ChIJhXG8orEsDogRA9eL9NhvwRE,4.3,1966,41.88905829999999,-87.6306039
117,Mitchell's Tap,ChIJPTFErjksDogR1r4aJ7c7oxg,4.3,338,41.83314660000001,-87.6462912
238,Kincade's Bar & Grill,ChIJqXyQKxnTD4gRgpXzHERVVXA,4.3,385,41.91833279999999,-87.6529202
62,Barra Ñ,ChIJ6XM2TofSD4gRId3zuqO0uXI,4.3,664,41.9356577,-87.6925653
552,Joe's on Weed St.,ChIJr2GMEiTTD4gRt5EY1kGRI3c,4.3,1384,41.9099108,-87.6521578
556,Lucky's Sandwich Co.,ChIJCfJ1h63TD4gRpOl9GwiAuno,4.3,518,41.945325,-87.6551444
501,Frances Cocktail Lounge,ChIJe1yq2cooDogR7PgyqZsVjxg,4.3,544,41.75823700000001,-87.617869
437,Granville Anvil,ChIJ-RVhjp_RD4gRmPUneC53Mvw,4.3,240,41.9944368,-87.65982319999999
278,Lone Wolf,ChIJl9ioScUsDogRQVLSiT4hrGg,4.3,1012,41.8846206,-87.6478059
274,Max's Place,ChIJxeSF5y_SD4gRI98cnu-VRBY,4.3,95,41.9659318,-87.6667111
319,ChiSox Bar & Grill,ChIJsQ7rmxYsDogRQXgQNBV1VjE,4.3,511,41.8310876,-87.6339572
318,Haymarket Pub & Brewery,ChIJweWyPcUsDogRtPwqbtgjTsQ,4.3,954,41.8841667,-87.64722220000002
343,nola bar & kitchen,ChIJb5DcebLTD4gRKxpWA8Do5B0,4.3,424,41.945642,-87.6550278
350,Loop Tavern & Liquors,ChIJcfAmq9LSD4gRfLwDg_vlLK0,4.3,91,41.8961955,-87.66782289999999
366,Cove Lounge,ChIJbYT_03QpDogRrGQBzB5NuYA,4.3,366,41.79537,-87.581899
306,Floyd's Pub,ChIJR6FXtZfSD4gRjJvLCYWO7Vg,4.3,296,41.9174915,-87.6850984
373,The Falcon Inn,ChIJh47YaeArDogRYkju8QL8DpQ,4.3,277,41.7994546,-87.586261
303,Roscoe's Tavern,ChIJbV-noq_TD4gRJKdDjRzXsVk,4.3,1081,41.9434929,-87.64958159999999
379,Mario and Sandra's Bar,ChIJ31a7efctDogRCragIE2AzW0,4.3,48,41.8275798,-87.69490619999999
385,O'Callaghan's,ChIJJTTb8LEsDogRCbELjhuqyck,4.3,1235,41.8899372,-87.6292107
386,Odyssey II,ChIJPTJm7MouDogRF3ycXznG1WY,4.3,335,41.79427889999999,-87.6202486
389,Lizzie McNeill's,ChIJAxWoH1YrDogRWqk5C4h254U,4.3,785,41.8890281,-87.61841360000001
395,Corcoran's Grill & Pub,ChIJtz_kakHTD4gRvZ2uz-D9C2U,4.3,748,41.9116134,-87.6344858
